Name,Country,Phone
CASEIFICIO VALLI DI LANZO S.R.L.,Italy,+39 0123 347 460
TCHIBO COFFEE SERVICE GMBH,Germany,+49 406 38 70
PIATTOPRONTO S.R.L.,Italy,+39 0577 984 399
PRODOTTI ALIMENTARI BRUNORI,Italy,+39 0721 891 920
SALUMIFICIO BRUGNOLO GIANCARLO S.P.A.,Italy,+39 049 625 155
BONUCCELLI SALUMI,Italy,+39 0584 989 680
CASEIFICIO SOCIALE CASTELLAZZO,Italy,+39 0522 652 862
PASTIFICIO ARTIGIANALE ALTA VALLE SCRIVIA,Italy,+39 010 938 433
B&B PRODUKTSLODYCZE REKLAMOWE,Poland,+48 22724 61 66
PASTICCERIA ISOLANA DOMIANEDDA DI URRU CLAUDIO,Italy,+39 079 588 930
GEL.MAR S.R.L.,Italy,+39 0832 966 871
FRATELLI CEI S.R.L.,Italy,+39 057 382 925
CANTINA COLONNELLA,Italy,+39 0861 710 405
GRANDI VINI BARON S.N.C. DI BARON ANGELO & C.,Italy,+39 0424 570 806
GETRNKE-LOGISTIK GERHARD STEPPER E.K.,Germany,+49 725 16 04 07
LE GOLOSITA' DI ZIA CRI,Italy,+39 0144 715 059
GEBR. MLLER,Germany,+49 932 38 99 40
PASTICCERIA CAPETTA S.R.L.,Italy,+39 0521 621 083
RODI PETFOOD NETTETAL GMBH,Germany,+49 215 71 20 30
HANS STRASSER OHG,Germany,+49 803 12 04 50
DETERFOOD S.R.L.,Italy,+39 0804 136 077
ZAKLADY MIESNE KUJAWY SP. Z O.O.,Poland,+48 52371 76 93
ZAFFERANO DI TURRI DI PICCHEDDA ELVERIO E FIGLI S.N.C.,Italy,+39 078 395 101
BUONGUSTOITALIA FOOD & BEVERAGE S.R.L.,Italy,+39 0998 803 885
DISTILLERIA GUALCO BARTOLOMEO E SUSANNA DI GIORGIO E MARCELLA SOLDATIN,Italy,+39 0143 841 113
CUISINE DE FRANCE (MANUFACTURING) LIMITED,Ireland,+43 14 05 72 00
ORIOLI SILVIO S.R.L.,Italy,+39 0331 261 438
MERTZ GMBH,Germany,+49 76 41 84 62
CANTINE BORGO DI COLLOREDO S.R.L.,Italy,+39 087 557 453
STRIANESE CONSERVE SRL,Italy,+39 0818 277 580
FATTORIA DEI BARBI S.R.L.,Italy,+39 0577 841 111
POLINI FRANCESCO,Italy,+39 0365 641 420
GAIDI ABDELFATTAH,Tunisia,
ETS ZRELLI,Tunisia,
STE AGRO-DISTRIPLUS,Tunisia,
COLUMBIAN CHEMICALS EUROPA GMBH,Germany,+49 511 63 08 90
ATLANTIC PRODUCTS SP. Z O.O.,Poland,+48 91397 43 96
CANTINA SOCIALE DEI COLLI PESARESI,Italy,+39 072 151 924
STE BORJ ESSAYEH,Tunisia,
CANADO-TNNE DES INDUSTRIES AGRO-ALIMENTAIRES,Tunisia,
STE DES INDUSTRIES ALIMENTAIRES DE KORBA,Tunisia,
STE FROMAGE BEJA,Tunisia,
ZEUS COMMERCIALE S.R.L.,Italy,+39 0332 811 954
GIUSEPPE ROSSO SOCIETA' AGRICOLA UNIPERSONALE,Italy,+39 0932 667 943
SALUMIFICIO MURRU S.P.A.,Italy,+39 0784 978 270
PASTICCERIA CAFE' GIANNELLI,Italy,+39 0456 490 218
MANGIMI COMCIMI E CEREALI DI GALLO STANISLAO,Italy,+39 096 280 300
FATTORIA CUSONA,Italy,+39 0577 950 089
ECO - VER S.R.L.,Italy,+39 0108 353 513
"SIDRA ESCANCIADOR, S.A.",Spain,+34 985 89 00 50
BARONE AMERIGO SAGNA E FIGLI CASA FONDATA NEL 1928 S.P.A.,Italy,+39 0118 131 632
DELIZIE DI CALABRIA DI REITANO PASQUALE & C. S.A.S.,Italy,+39 0966 612 059
SAN CARLO GRUPPO ALIMENTARE S.P.A.,Italy,+39 0543 796 565
ENOTECA TALENTI,Italy,+39 0686 896 488
FAHNER LANDBRENNEREI GMBH U. CO. KG,Germany,+49 36 20 62 27 25
LEONE INDUSTRIA ALIMENTARE S.R.L.,Italy,+39 0874 390 203
DE CLEMENTE CONSERVE S.P.A.,Italy,+39 0815 138 033
SIBAT TOMARCHIO S.R.L.,Italy,+39 09 580 358
AMNOL CHIMICA BIOLOGICA S.R.L.,Italy,+39 0321 499 199
NINO VACCA DI GIOVANNI VACCA & C. S.N.C.,Italy,+39 078 370 665
CASEIFICIO LA STELLA S.R.L.,Italy,+39 0823 812 511
IMCA S.P.A.,Italy,+39 081 916 615
CASEIFICIO ROBERTA S.R.L.,Italy,+39 089 826 224
CORSINI BISCOTTI S.R.L.,Italy,+39 0564 957 866
AUGUSTSWIANKA SP. Z O.O.,Poland,+48 87644 31 32
FUSARO SALVATORE,Italy,+39 0984951 909
JAMONES Y EMBUTIDOS VAZQUEZ S. L.,Spain,+34 959 12 65 38
CASEIFICIO DI NUCCI DI DI NUCCI FRANCO,Italy,+39 086 577 288
DIETZ GMBH,Germany,+49 714 25 10 97
DELIZIE DELL ORTO S.R.L.,Italy,+39 0885 782 516
BOSIO S.R.L.,Italy,+39 0119 492 538
FERRONI & BERETTA S.R.L.,Italy,
BRUSCHI QUALITA' & SERVIZI,Italy,+39 052 596 430
KELLEREI KALTERN - CALDARO,Italy,+39 0471 964 454
BODEGAS DINASTIA VIVANCO SA,Spain,+34 941 32 23 60
FRIGORIFICOS MORALES SA,Spain,+34 968 55 21 11
CONSERVAS MARTINEZ SA,Spain,+34 968 62 66 25
ESPURGO SERVIZI TECNOLOGICI AMBIENTALI S.N.C. DI ALBERINI A. E GUAITOLINI,Italy,+39 0522 953 995
S.I.D.AL. S.R.L.,Italy,+39 0573 531 781
ESTRELLA DE LEVANTE FABRICA DE CERVEZA SA,Spain,+34 968 87 98 00
ACCADEMIA OLEARIA S.R.L.,Italy,+39 079 980 394
MANIACI DISTRIBUZIONE S.R.L.,Italy,+39 0921 383 284
FAOTTO BOTTIGNOLO S.R.L.,Italy,+39 0422 401 834
OLEARIA CLEMENTE S.R.L.,Italy,+39 0884 543 955
MAISEL BRU BAMBERG HOLDING GMBH & CO. KG,Germany,+49 951 91 82 70
PASTICCERIA CAVALIERE DI CAVALIERE PAOLO E MARCO S.N.C.,Italy,+39 031 780 791
CANTINA DEL COLLE,Italy,+39 0803 036 138
LORMAN S.R.L.,Italy,+39 0373 980 926
ULTRACONGELADOS AZARBE SA,Spain,+34 968 87 01 73
INDUSTRIE MONTALI S.R.L.,Italy,+39 0522 863 181
PELLEGRINI S.R.L.,Italy,+39 04 294 928
ITALGUM CARAMELLE S.R.L.,Italy,+39 0142 497 817
AUGUSTOWIANKA SP Z O O,Poland,+48 87644 31 32
FIRMA HANDLOWO USLUGOWA SOBIK LESZEK SOBIK,Poland,+48 33479 40 61
CANTINA PONTE VECCHIO,Italy,+39 0423 981 363
ATLANTIS SEAFOODS GMBH,Germany,+49 47 17 30 75
FILIERA AGROALIMENTARE TRENTINA S.P.A.,Italy,+39 0461 757 496
BENEDETTI LIQUORI DI VALBUSA LUCA,Italy,+39 042 322 109
AGROPAK - TATARSTAN,Russia,+7 85 59 55 58 95
LES MOULINS DU BION,France,+33 4 74 43 53 70
RICARDO FUENTES E HIJOS TRANSPORTES SA.,Spain,+34 968 55 41 41
CIGOGNOLA S.R.L.,Italy,+39 038 585 601
GETRNKE SCHNEIDER GMBH,Germany,+49 68 21 44 22
AMORETTI E GAZZANO DI AMORETTI GIUSEPPE E C. S.A.S.,Italy,+39 0183 768 259
SOAVE S.R.L.,Italy,+39 0831 822 311
PODERE SAN VINCENZO,Italy,+39 3428 016 374
FOSSA PELLEGRINI S.N.C. DEI F.LLI PELLEGRINI E MARTA CAPODILISTA & C.,Italy,+39 0541 948 542
GETRADOIL SA,Switzerland,+41 22732 55 82
ADRAGNA,Italy,+39 0924 514 793
JACKSONS OF PICCADILLY LIMITED,United Kingdom,+44 120282 35 46
"BOGAND PRZETWRSTWO I HANDEL ZBOZEM ANDRZEJ ZAJAC, BOGUMIL ZAJAC, STEFAN ZAJAC S.J.",Poland,+48 56678 80 04
MAMERTO DE LA VARA SL,Spain,+34 962 51 15 45
CANTINA CAVALIERI DI BENEDETTI GABRIELE,Italy,+39 073 784 859
SALZWEDELER BAUMKUCHENBETRIEBE BOSSE GMBH,Germany,+49 393 16 99 00
DE GUSTIBUS S.R.L.,Italy,+39 02 515 147
FRIEDRICH VIEHMEIER IMMOBILIEN GMBH & CO. KG,Germany,+49 66 96 14 53
PLACES TRADING LIMITED,United Kingdom,+44 145252 23 69
THOMAS HANRAHAN & SONS LTD,Ireland,+353 61 21 03 00
CONTINENTALE NUTRITION,France,+33 3 21 99 08 08
INDUSTRIA ALIMENTARE IGEA S.R.L.,Italy,+39 0429602 228
GETRNKE WLLNER GMBH & CO. KG,Germany,+49 52177 01 50
DOLCIARIA LUIGIA,Italy,+39 0541 346 074
BRAUEREI GUT FORSTING EG,Germany,+49 80 94 10 11
FIRMA HANDLOWA IWONA KOZIOL I TADEUSZ KOZIOL S.J.,Poland,+48 32363 77 20
SA ALIMENTARIA ARAGONESA,Spain,+34 976 66 27 95
HAZELDENE FOODS LIMITED,United Kingdom,+44 177281 29 55
NEUMANN SMOSTKELTEREI GMBH,Germany,+49 33 38 81 01
BUCHHOLZER KELTEREI BREITBARTH GMBH & CO. VERTRIEBS-KG,Germany,+49 30 47 47 17 60
GNTER BAUER FLEISCH- UND WURSTWAREN HERSTELLUNGS- UND VERTRIEBS GMBH & CO. KG I.L.,Germany,+49 30625 20 82
SPOLEM POWSZECHNA SPOLDZIELNIA SPOZYWCOW NOWA HUTA W KRAKOWIE,Poland,+48 12641 14 00
SPOLDZIELCZA AGROFIRMA WITKOWO,Poland,+48 91576 08 48
SALSAMENTARIA S.R.L.,Italy,+39 0114 513 903
CONSERVAS JABUGO S.L.,Spain,+34 959 12 82 46
PASTIFICIO FRACARO S.R.L.,Italy,+39 0444 455 778
BTZOWER MOLKEREI UND DAUERMILCHWERK GMBH,Germany,+49 38 46 14 70
FRHSTCKS-DRINK-GMBH,Germany,+49 73 44 95 00
BUNGE DEUTSCHLAND GMBH,Germany,+49 62 13 70 40
ROYAL GREENLAND ITALIA S.P.A.,Italy,+39 0362 368 426
CUKROWNIA ROPCZYCE S.A.,Poland,+48 172 22 90 00
MAININI MARIO,Italy,+39 037 582 439
CARNICAS EMBAJADORES SA,Spain,+34 917 85 52 65
ADEGA CONDES DE ALBAREI SA,Spain,+34 986 54 35 35
THOMAS DEURINGER TEIGWARENFABRIKATION,Germany,+49 764 14 22 09
VICTA,Italy,+39 0415 936 375
AHRENS FLEISCH-FEINKOST-PARTYSERVICE GMBH,Germany,+49 51 83 12 51
PRZEDSIEBIORSTWO PRZEMYSLU SPIRYTUSOWEGO POLMOS W WARSZAWIE S A,Poland,+48 22826 61 03
ALIMENTA DI ROBERTO & RICCARDO MARTINI & C. S.N.C.,Italy,+39 0183 291 720
GRAZIANO S.A.S. DI GRAZIANO GIUSEPPE & C.,Italy,+39 0983 514 458
POWSZECHNA SPOLDZIELNIA SPOZYWCOW SPOLEM W BIALYMSTOKU,Poland,+48 85742 32 20
CARNITALIA S.R.L.,Italy,+39 0377 420 033
MAKEN MEHILISTILA,Finland,+358 400 54 42 04
VOCAR ESCARGOT VOCAR - PUZ D.O.O.,Serbia,+381 26 65 17 54
EURODOLCIARIA S.R.L.,Italy,+39 035 882 334
RYAZHSKII POGREBOK,Russia,+7 49 13 22 21 78
AGDOR ZAKLAD PRZETWORSTWA ZBOZ A DROZDOWSKI K SITKIEWICZ A BOROWIK SPOLKA JAWNA,Poland,+48 56683 71 26
PIACENTINI F LLI,Italy,+39 0523 863 259
AGRO BOR LOUISA SP Z O O,Poland,+48 95752 56 41
BODEGAS MARQUES DE VIZHOJA SA,Spain,+34 986 66 58 25
EMBUTIDOS VELILLA SL,Spain,+34 918 70 45 55
CAFES LA BRASILEA SA,Spain,+34 945 26 50 00
BOCHUMER FLEISCHHANDELSGES. MBH,Germany,+49 234 52 90 40
CASEIFICIO VALLE VERDE S.R.L.,Italy,+39 0874 782 205
FAMIS CO D.O.O.,Serbia,+381 113 14 90 83
"SLOVENSKE CUKROVARY, S.R.O. - ZAVOD RIMAVSKA SOBOTA",Slovakia,+421 31560 44 01
MAJONEZY SPOLDZIELNIA PRACY PRODUKCYJNO HANDLOWA W KETRZYNIE,Poland,+48 89751 22 15
CORTES BARTOLOME SL,Spain,+34 983 29 14 25
STE EL FELLAH,Tunisia,+216 71 43 20 65
MORAY HOLDINGS LIMITED,United Kingdom,+44 15 42 83 12 96
FRIGORIFICOS COSTA SUR SL,Spain,+34 956 40 64 38
SALUMIFICIO DEL CONERO S.R.L.,Italy,+39 0717 822 131
CUKIER POLSKA SP ZOO,Poland,+48 12427 04 31
HARRY-BROT GMBH,Germany,+49 40 83 03 50
I - CAR S.R.L.,Italy,+39 0108 386 222
WILHELM ROOSE GMBH,Germany,+49 428 19 33 60
ALCAHUZ DISTRIBUCIONES SA,Spain,+34 916 94 61 62
TOMASONI FRATELLI S.N.C. DI TOMASONI OTTORINO & C.,Italy,+39 030 951 007
ARTLAND FLEISCHWAREN GMBH,Germany,+49 543 36 90
BODEGAS ARZUAGA NAVARRO S.L.,Spain,+34 983 68 11 46
DISTRIBUCIONES PLATA GRANADA S.L.,Spain,+34 958 50 64 61
ENERHAUS IMPORT S.L.,Spain,+34 933 05 14 73
BEISIEGEL TRINKFRUCHT-KELLEREI GMBH,Germany,+49 67 12 80 52
VOGLIA DI PANE LEONARDI,Italy,+39 0931 745 298
VILLENEUVE WINES LTD,United Kingdom,+44 172172 25 00
INDUSTRIA CARNICA MARTIN MARTIN SL,Spain,+34 921 49 75 06
PRZEDSIEBIORSTWO PRODUKCYJNO HANDLOWE MATMAR COMINDEX SP Z O O,Poland,+48 52356 00 80
GRUPO HERMANOS MARTIN  SA,Spain,+34 954 93 79 99
DISTRIBUCIONES RODRIGO SA,Spain,+34 976 31 33 12
MLINOSTEP D.O.O.,Serbia,+381 21 52 91 32
PASTIFICIO STROPPA S.R.L.,Italy,+39 0290 722 130
KONEC S.R.L.,Italy,+39 043 486 203
CONSERVAS TERRAMAR SOCIEDAD ANONIMA.,Spain,+34 976 86 14 40
BACARDI GMBH,Germany,+49 40 33 95 00
PASTICCERIA L'ORCHIDEA DI GIOVANNI CERRETANI E C. S.A.S.,Italy,+39 0854 175 401
SFV SCHMLZLE FLEISCHVERSORGUNG GMBH & CO. KG,Germany,+49 71 21 99 42 40
KUNELLA FEINKOST GESELLSCHAFT MIT BESCHRNKTER HAFTUNG,Germany,+49 35 52 31 51
PRECOCINADOS TITERROY SOCIEDAD LIMITADA.,Spain,+34 928 80 32 00
ACEITUNAS GUEROLA SOCIEDAD LIMITADA.,Spain,+34 962 86 23 73
PSZCZOLKA SPOLDZIELNIA OGRODNICZO PSZCZELARSKA,Poland,+48 468 37 38 43
MARCO POLO TRADE AND MARKETING S.L.,Spain,+34 932 84 72 78
CAFFREYS (MILLBROOK) LTD,Ireland,+353 49854 11 33
THE JACOB'S BAKERY LIMITED,United Kingdom,+44 151525 36 61
ARTIGIANI PASTAI DI SCOGNAMIGLIO FRANCESCO,Italy,+39 0818 582 917
COMPANIA OLEICOLA S XXI S.L.,Spain,+34 927 41 79 58
ALDISA TRANSCONTINENTAL SOCIEDAD ANONIMA,Spain,+34 962 40 23 51
KARL SCHMIDT GMBH,Germany,+49 574 39 30 30
BISCOTTERIA TONON S.P.A.,Italy,+39 0458 550 100
BEL DEUTSCHLAND GMBH,Germany,+49 89 66 69 60
CASEIFICIO SANT'ANTONIO S.N.C.,Italy,+39 097 521 441
AUGUST KRGER KG GETRNKE-INDUSTRIE,Germany,+49 57 24 40 01
FATTORIE GENNARGENTU S.R.L.,Italy,+39 078 458 017
WINTERS FRISCHDIENST GMBH,Germany,+49 67 51 40 16
NATURALMENTE S.R.L.,Italy,+39 0141 954 832
DSM NUTRITIONAL PRODUCTS SP. Z O.O.,Poland,+48 468 57 31 31
ERRE EMME S.R.L.,Italy,+39 0775 533 207
CHLODNIA OLSZTYN SP. Z O.O.,Poland,+48 895 33 83 58
CENTRAL LECHERA ASTURIANA SOCIEDAD AGRARIA DE TRANSFORMACION NUM 471 LIMITADA,Spain,+34 985 10 11 00
JOSEF WERNKE GMBH EG-SCHLACHT- UND ZERLEGEBETRIEB IMPORT-EXPORT,Germany,+49 44 71 88 04 22
SCHLOSS GHRDE GMBH,Germany,+49 586140 51
MURGIA SERGIO S.R.L.,Italy,+39 0783 858 020
PICCIAU SALVATORE,Italy,+39 0709 639 106
GHIRARDI GIORDANO S.R.L.,Italy,+39 0425 444 973
ELABORATS SANT JOAN S.L.,Spain,+34 972 29 30 96
RAVIOLIFICIO SAN MARCO DI TROLESE G. E C. ( S.N.C. ),Italy,+39 0332 463 356
NEW PET FOOD ITALIA S.R.L.,Italy,+39 0376 946 100
CONFISERIE ROHAN,France,+33 3 88 57 85 85
SCHMIDT FLEISCHWAREN GMBH,Germany,+49 517160 61
PREMIUM GMBH,Germany,+49 42 81 75 50
MOLITERNO VITO,Italy,+39 0806 900 762
BARISON ANNALISA,Italy,+39 0532 838 179
KSTENLAND MILCHUNION MECKLENBURG-VORPOMMERN GMBH,Germany,+49 39 61 27 20
SANCHEZ ALCARAZ S.L.,Spain,+34 918 17 08 07
BARTOLI STEFANO FATTORIA POGGIOPIANO,Italy,+39 0558 229 629
EIERENGLORIE VERMEULEN B.V.,Netherlands,+31 251 21 42 42
ZERBONE FRATELLI S.R.L.,Italy,+39 010 518 272
MEGA INTERNATIONAL S.R.L.,Italy,+39 0630 889 387
SOCIETA' AGRICOLA BUTTERI DI BUTTERI ENZO & FIGLI,Italy,+39 0524 570 722
ARGANEO SARL,Morocco,+212 28 30 87 29
METZGEREI A. HUFNAGEL GMBH,Germany,+49 620 16 10 55
SALUMIFICIO SCHETTINO RAFFAELE S.R.L.,Italy,+39 0818 212 149
SDERVIDINGE BRD AB,Sweden,+46 4673 01 50
INDUSTRIA ALIMENTARE CARAZITA S.R.L.,Italy,+39 0883 685 094
LATTICINI IOVINE S.R.L.,Italy,+39 0818 806 972
I DIVINI DI FRANCESCO CHICCO,Italy,+39 0883 292 331
ROSSI GIANTS S.R.L.,Italy,+39 0444 370 287
EULOGIO CASTAO RODRIGUEZ SA,Spain,+34 959 24 55 37
OSLO MIKROBRYGGERI AS,Norway,+47 22 56 97 76
STEINHUSER GMBH,Germany,+49 751 36 61 40
CONSERVAS NARDIN S.L.,Spain,+34 943 86 11 50
BODEGAS DEL MARQUES DE VARGAS SL.,Spain,+34 941 26 14 01
TIFFANY DI DEIDDA IGNAZIO S.N.C.,Italy,+39 070 813 842
JOSE AGULLO DIAZ E HIJOS SL,Spain,+34 965 82 78 34
PETER FRAUEN & CO. OHG,Germany,+49 485 29 68 80
HANSA LANDHANDEL LAHDE GMBH & CO. KG,Germany,+49 42 81 71 00
ABRUZZO VINI S.R.L.,Italy,+39 0859 709 636
DISTRIBUIDORA ISLA BLANCA SA,Spain,+34 971 31 44 81
CORVINI S.R.L.,Italy,+39 0543774 233
INDUSTRIAS CARNICAS VAQUERO S.A.,Spain,+34 917 79 10 50
COPERATIEVE AAN- EN VERKOOPVERENIGING ZUID-OOST SALLAND UA,Netherlands,+31 548 59 56 62
CADWALADER (ICE CREAM) LIMITED,United Kingdom,+44 17 66 52 24 78
ROLUEMA DI CALITRI L. SS,Italy,+39 0881883 023
FRATELLI RATTI,Italy,+39 053 581 592
AVEVE NEDERLAND B.V.,Netherlands,+31 464 37 44 44
BODEGAS E MENDOZA SL,Spain,+34 965 88 86 39
WEIDENAAR WORST B.V.,Netherlands,+31 519 24 12 75
SUNCREAM DAIRIES LIMITED,United Kingdom,+44 1827541 96
EFES PAZARLAMA VE DAGITIM TICARET A S,Turkey,+90 212449 36 00
CASEIFICIO PROGRESSO,Italy,
ROTH GMBH,Germany,+49 634 18 50 09
SANTA MARIA B.V.,Netherlands,+31 306 02 34 90
SABORES EXTREMEOS SL,Spain,+34 924 67 01 60
VAN HOOF-SWINKELS B.V.,Netherlands,+31 402 01 24 04
G.M. S.R.L.,Italy,+39 0498 702 971
KATTEGAT SEAFOOD A/S,Denmark,+45 87 52 73 00
FRATELLI SANTORELLI,Italy,+39 0818 251 139
CASEIFICIO PRINCIPE S.R.L.,Italy,+39 0818 188 345
CASEIFICIO ANDRIESE - BONTA' GENUINA S.R.L.,Italy,+39 0883 535 656
AGRICOLA PLINIANA,Italy,+39 0999 794 273
BEPPE SEREN E C. S.N.C. DI GIUSEPPE SEREN,Italy,+39 051 727 255
TENUTA CASTELLO DI RAZZANO S.S.,Italy,+39 0141 922 487
A7B BOHEMIA A.S.,Czech Rep.,+420 220 97 14 66
ROSSIGNOTTI ANGELO ( S.R.L. ),Italy,+39 018 541 034
CAMPAGNOLA S.R.L.,Italy,+39 051 969 020
SLACHTERIJ/GROSSIERDERIJ WOUTERS B.V.,Netherlands,+31 297 59 33 14
HAASNOOT PELAGIC IMPORT B.V.,Netherlands,+31 255 51 33 49
GALLOTTI S.R.L.,Italy,+39 0815 109 023
JOS SLIPPENS VLEESWAREN B.V.,Netherlands,+31 22635 38 82
SMETANOVA CUKRARNA A.S.,Czech Rep.,+420 272 94 23 32
VAN SCHOTHORST FOOD B.V.,Netherlands,+31 17265 12 15
PENTAGON S.C.,Spain,+34 786 37 76 71
VANDEMOORTELE ITALIA S.P.A.,Italy,+39 03 964 191
NAABTALER MILCHWERKE GMBH & CO. KG,Germany,+49 961 38 91 20
H.G. VAN DORRESTEIJN HOLDING B.V.,Netherlands,+31 356 01 51 75
R & A VASA WINERY LTD,Cyprus,+357 2594 59 99
C.LA.R. S.R.L.,Italy,+39 0746 271 754
VINICOLA HERDONIA,Italy,
ANIS DE L ABBAYE DE FLAVIGNY TROUBAT,France,+33 3 80 96 20 88
FAGE UK LIMITED,United Kingdom,+44 20 76 30 50 00
CASEIFICIO DELL'ALTA LANGA S.R.L.,Italy,+39 0173 854 121
LECHNER GMBH FUTTERMITTELHANDLUNG,Germany,+49 876 24 62
NUTRICIA NEDERLAND B.V.,Netherlands,+31 79353 99 53
FRANTOIO TORRE DI MEZZO S.R.L.,Italy,+39 0923 841 590
V.O.F. FLYER MEAT UTRECHT,Netherlands,+31 41867 80 99
CONTINENTAL CHOCOLATE B.V.,Netherlands,+31 20407 05 40
CASEIFICIO PERRUSIO CARMELA S.P.A.,Italy,
BROODBAKKERIJ J.M. ULJEE B.V.,Netherlands,+31 10419 03 71
SIKMA VEEVOEDERS B.V.,Netherlands,+31 512 35 12 81
I.C.S. INTERNATIONAL B.V.,Netherlands,+31 78654 61 11
BAKKERIJ VAN ESCH,Netherlands,+31 59463 12 60
NEUTEBOOM KAAS- VERSWERELD B.V.,Netherlands,+31 715 76 35 18
ECOVAL HOLDING B.V.,Netherlands,+31 243 27 77 02
CONSORZIO DEL FORMAGGIO PARMIGIANO REGGIANO,Italy,+39 0522 700 211
DE LEKKERE DINGEN BAKKERIJ B.V.,Netherlands,+31 20690 43 25
LA CUCINA DI BOLOGNA S.R.L.,Italy,+39 0516 871 216
MARTARELLI FORMAGGI S.R.L.,Italy,+39 0719 470 019
SILFO S.R.L.,Italy,+39 078 572 329
CASCINE EMILIANE S.P.A.,Italy,+39 0522 688 560
TUKUMA PIENS AS,Latvia,+371 31222 22
CASEIFICIO LA MADONNINA S.N.C. DI IEMMI MARCO E C.,Italy,+39 0524 570 905
LATTERIA SORESINA,Italy,+39 0374 349 111
DOUWE EGBERTS NEDERLAND B.V.,Netherlands,+31 30297 91 11
TSUKOR INVEST,Ukraine,+380 536 19 13 35
ARDOINO LORENZO,Italy,+39 0183 400 042
V.O.F. BROOD- EN BANKETBAKKERIJ DEN DULK,Netherlands,+31 71401 25 14
HADSUND KREATURSLAGTERI A/S,Denmark,+45 98 57 37 88
CAMILLERI WINES LIMITED,Malta,+356 21 41 23 91
DOLCIARIA FRANCIACORTA DI MARTINELLI NATALE E C. (,Italy,+39 0307 721 570
ANTICHI SAPORI LIGURI S.R.L.,Italy,+39 0187 518 156
SWEDISH MEATS EK. FOR.,Sweden,+46 13 23 45 00
AYIA MAVRI WINERY LTD,Cyprus,+357 2547 02 25
"PLZENSKY PRAZDROJ, A. S.",Czech Rep.,+420 377 06 11 11
F. NOORDHOEK EN ZOON B.V.,Netherlands,+31 172 61 93 33
GROSJEANSTETTLER SA,Switzerland,+41 219 03 03 55
METZGEREI ANGST AG,Switzerland,+41 444 97 96 96
M. DEMAJO (WINES & SPIRITS) LIMITED,Malta,+356 25 52 80 00